id,germ,seed.number,buried,mushy?,prop.mushy,other notes
857,y,1,n,n,0,
869,y,1,n,y,1,
884,y,1,n,n,0,"at least 1 missing, one glume missing"
890,y,1,n,n,0,
893,y,1,n,n,0,
909,y,1,n,y,1,
910,y,1,n,n,0,glumes only
913,y,1,n,n,0,"2 plants, one empty"
917,y,1,n,n,0,"2 plants, 1 empty"
919,y,1,n,n,0,
928,y,1,n,n,0,
929,y,1,n,n,0,glumes only
940,y,1,n,n,0,glumes only
950,y,1,n,n,0,
956,y,1,n,n,0,3 glumes only
960,y,1,n,n,0,glumes only
962,y,1,n,n,0,glumes only
964,y,1,n,n,0,glumes only
753,y,1,n,n,0,"2 plants, plant#1 1 seed; plant#2 1 seed, averaged"
898,y,1,n,n,0,"3 plants, plant#1 with 2 hard seeds, plant#2 no seeds, plant#3 fungus, 2 averaged"
501,y,0,n,n,0,
504,y,0,n,n,0,knocked over
508,y,0,n,n,0,
509,n,0,n,n,0,
511,n,0,n,n,0,
512,n,0,n,n,0,
513,y,0,n,n,0,
517,y,0,n,n,0,"2 plants; plant#1 0 seeds, plant#2 0 seeds"
519,y,0,n,n,0,
528,y,0,n,y,1,"anthers, likely a local (red) plant grown in a different coloured tube"
529,y,0,n,n,0,
531,n,0,n,n,0,
539,y,0,n,n,0,pollen/anther lambda(?)
544,n,0,n,n,0,
549,y,0,n,n,0,
551,n,0,n,n,0,"exclude, tube rolled away"
552,n,0,n,n,0,
553,n,0,n,n,0,
557,y,0,n,n,0,"4 plants; 0 seeds, anthers"
558,y,0,n,n,0,big plant  
560,n,0,n,n,0,
561,n,0,n,n,0,
562,y,0,n,n,0,"2 plants, both large plants with 0 seeds"
563,y,0,n,n,0,"many empties, 2 plants but both 0"
564,n,0,n,n,0,
566,n,0,n,n,0,
570,n,0,n,n,0,
571,n,0,n,n,0,
581,y,0,n,n,0,1 disease
582,y,0,n,n,0,
583,y,0,n,n,0,
590,y,0,n,n,0,
595,y,0,n,n,0,
596,y,0,n,n,0,
597,y,0,n,n,0,
598,y,0,n,n,0,
603,y,0,n,n,0,
604,y,0,n,n,0,
605,y,0,n,n,0,
606,y,0,n,n,0,
607,n,0,n,n,0,
609,y,0,n,n,0,
613,y,0,n,n,0,
614,y,0,n,n,0,
615,y,0,n,n,0,
616,y,0,n,n,0,
617,y,0,n,y,1,
618,y,0,n,n,0,
619,y,0,n,n,0,
620,y,0,n,n,0,
621,y,0,n,n,0,
622,y,0,n,n,0,
624,y,0,n,n,0,
625,y,0,n,n,0,
627,n,0,n,n,0,
628,y,0,n,n,0,
629,y,0,n,n,0,
635,y,0,n,n,0,
636,y,0,n,n,0,
637,n,0,n,n,0,
638,y,0,n,n,0,
639,y,0,n,n,0,
640,y,0,n,n,0,
642,n,0,n,n,0,
643,y,0,n,n,0,
644,y,0,n,n,0,
645,y,0,n,n,0,
648,y,0,n,n,0,
650,n,0,n,n,0,
651,n,0,n,n,0,
653,y,0,n,n,0,
654,y,0,n,n,0,
655,y,0,n,n,0,
656,y,0,n,n,0,
657,y,0,n,n,0,
658,y,0,n,n,0,
659,y,0,n,n,0,
660,n,0,n,n,0,
663,y,0,n,n,0,
665,n,0,n,n,0,
667,y,0,n,n,0,
668,n,0,n,n,0,
671,y,0,n,n,0,
674,y,0,n,n,0,"2 plants, both empty"
675,y,0,n,n,0,
676,y,0,n,n,0,"seed head missing, herbivory?"
677,n,0,n,n,0,
678,y,0,n,n,0,
681,y,0,n,n,0,
684,y,0,n,n,0,
688,y,0,n,n,0,
689,y,0,n,n,0,
691,y,0,n,n,0,
693,y,0,n,n,0,
694,y,0,n,n,0,
697,y,0,n,n,0,
698,y,0,n,n,0,
699,y,0,n,n,0,
700,n,0,n,n,0,
701,n,0,n,n,0,
703,y,0,n,n,0,
704,y,0,n,n,0,
707,y,0,n,n,0,
709,y,0,n,n,0,
710,y,0,n,n,0,fungus
711,y,0,n,n,0,herbivory?
713,y,0,n,n,0,
714,y,0,n,n,0,
716,y,0,n,n,0,
717,y,0,n,n,0,
718,n,0,n,n,0,
723,y,0,n,n,0,
726,n,0,n,n,0,
728,y,0,n,n,0,
731,n,0,n,n,0,
733,n,0,n,n,0,
734,n,0,n,n,0,
738,y,0,n,n,0,
741,y,0,n,n,0,
743,y,0,n,n,0,
744,y,0,n,n,0,
747,n,0,n,n,0,
750,y,0,n,n,0,
751,y,0,n,n,0,
752,y,0,n,n,0,
757,y,0,n,n,0,3 mold
758,y,0,n,n,0,
759,n,0,n,n,0,
761,n,0,n,n,0,
763,y,0,n,n,0,"2 plants, plant#1 0 seeds; plant#2 0 seed"
765,y,0,n,n,0,fungus
768,n,0,n,n,0,
771,y,0,n,n,0,
773,y,0,n,n,0,
774,y,0,n,n,0,
775,y,0,n,n,0,
776,y,0,n,n,0,
777,y,0,n,n,0,
778,y,0,n,n,0,
779,y,0,n,n,0,herbivory?
781,y,0,n,n,0,
783,y,0,n,n,0,
784,n,0,n,n,0,
786,y,0,n,n,0,
788,n,0,n,n,0,
792,y,0,n,n,0,
797,y,0,n,n,0,seed head (small) with no seeds
798,y,0,n,n,0,
799,y,0,n,n,0,
800,y,0,n,n,0,
802,y,0,n,n,0,
803,y,0,n,n,0,
807,y,0,n,n,0,
811,n,0,n,n,0,
812,y,0,n,n,0,fungus
820,y,0,n,n,0,
821,y,0,n,n,0,
822,n,0,n,n,0,
827,y,0,n,n,0,
828,y,0,n,n,0,
829,n,0,n,n,0,
831,n,0,n,n,0,
833,y,0,n,n,0,
834,y,0,n,n,0,
835,y,0,n,n,0,
836,y,0,n,n,0,4 diseased seed
839,y,0,n,n,0,
841,y,0,n,n,0,
842,y,0,n,n,0,
843,n,0,n,n,0,
844,y,0,n,n,0,
846,n,0,n,n,0,
848,y,0,n,n,0,
849,y,0,n,n,0,
850,y,0,n,n,0,
851,y,0,n,n,0,
853,y,0,n,n,0,
854,y,0,n,n,0,
855,y,0,n,n,0,
858,y,0,n,n,0,"2 plants, 1 empty (glume) other no seeds"
859,y,0,n,n,0,
861,y,0,y,n,0,
863,y,0,n,y,1,
867,n,0,y,n,0,
874,y,0,n,n,0,
875,n,0,n,n,0,
876,y,0,n,n,0,
877,y,0,n,n,0,
878,y,0,n,n,0,
881,n,0,n,n,0,
886,y,0,n,n,0,
887,y,0,n,n,0,
888,y,0,n,n,0,
889,y,0,n,n,0,
892,y,0,n,n,0,
897,y,0,n,n,0,
901,n,0,n,n,0,
903,y,0,n,n,0,
904,y,0,n,n,0,
905,n,0,n,n,0,
906,y,0,n,n,0,
908,y,0,n,n,0,
912,y,0,n,n,0,
914,y,0,n,n,0,
916,y,0,n,n,0,
918,n,0,n,n,0,
920,n,0,n,n,0,
921,y,0,n,n,0,
922,n,0,n,n,0,
923,y,0,n,n,0,"20 fungusy, may not be focal one??"
924,n,0,n,n,0,
935,y,0,n,n,0,sat on
945,y,0,n,n,0,
947,n,0,n,n,0,
949,n,0,n,n,0,
951,y,0,n,n,0,glumes only but not big ones
952,y,0,n,n,0,
953,n,0,n,n,0,avena in bag
954,y,0,n,n,0,
957,n,0,n,n,0,
958,y,0,n,n,0,
959,n,0,n,n,0,
961,y,0,n,n,0,"trampled, and red replaced with nearby plant"
963,y,0,n,n,0,
965,n,0,n,n,0,
967,n,0,n,n,0,
1000,n,0,n,n,0,
670b,y,0,n,n,0,
671b,y,0,n,n,0,
673b,y,0,n,n,0,
674b,y,0,n,n,0,
675b,n,0,n,n,0,
676b,y,0,n,n,0,
677b,y,0,n,n,0,
678b,y,0,n,n,0,
679b,n,0,n,n,0,
680b,n,0,n,n,0,
